timestamp,environment,operation,job_id,node_name,triggered_by,status
2026-07-02 20:55:06 UTC,Prod,kill,0000007-260703120000000-oozie-oozi-W,N/A,pranambi,success
2026-07-02 21:09:29 UTC,Prod,Kill,0000009-260703120000000-oozie-oozi-W,N/A,pranambi,success
2026-07-02 21:14:57 UTC,Prod,Kill,0000009-260703120000000-oozie-oozi-W,N/A,pranambi,success
